Date,w_GLD,w_BRK-B,w_QQQ,w_RKLB
2025-11-04,0.375122,0.385121,0.065313,0.174444
2025-11-05,0.369202,0.393053,0.053077,0.184668
2025-11-06,0.337632,0.365724,0.079192,0.217451
2025-11-10,0.312593,0.370421,0.056262,0.260725
2025-11-12,0.344476,0.289814,0.065100,0.300609
2025-11-13,0.371605,0.224866,0.099820,0.303709
2025-11-14,0.420718,0.171667,0.093450,0.314165
2025-11-17,0.328274,0.144077,0.140062,0.387586
2025-11-19,0.314792,0.084567,0.173242,0.427399
2025-11-20,0.309520,0.060038,0.200885,0.429556
2025-11-21,0.328940,0.051933,0.187077,0.432050
2025-11-26,0.376806,0.016751,0.141877,0.464566
2025-12-12,0.511785,0.009540,0.203785,0.274890
2025-12-23,0.603933,0.000000,0.249476,0.146591
2025-12-24,0.592011,0.000000,0.205012,0.202977
2025-12-31,0.570377,0.000000,0.240067,0.189556
2026-01-02,0.247477,0.000000,0.319369,0.433155
2026-01-05,0.293294,0.000000,0.218000,0.488706
2026-01-06,0.290295,0.000000,0.225746,0.483958
2026-01-07,0.284493,0.000000,0.234729,0.480777
2026-01-08,0.282468,0.000000,0.240405,0.477127
2026-01-09,0.292385,0.000000,0.238797,0.468817
2026-01-12,0.292470,0.000000,0.250094,0.457436
2026-01-13,0.306705,0.000000,0.257931,0.435364
2026-01-14,0.309321,0.000000,0.263618,0.427061
2026-01-15,0.315277,0.000000,0.277237,0.407486
2026-01-16,0.315793,0.000000,0.305919,0.378287
2026-01-20,0.292322,0.020284,0.322622,0.364773
2026-01-21,0.282610,0.072977,0.334655,0.309758
2026-01-22,0.275881,0.125824,0.288488,0.309807
2026-01-23,0.252868,0.174279,0.302837,0.270015
2026-01-26,0.263326,0.184747,0.286496,0.265432
2026-01-27,0.239123,0.247724,0.285406,0.227748
2026-01-28,0.239367,0.287935,0.256834,0.215864
2026-01-29,0.263164,0.285710,0.251702,0.199424
2026-01-30,0.269856,0.262799,0.252353,0.214992
2026-02-02,0.394660,0.000000,0.351002,0.254338
2026-02-03,0.327966,0.000000,0.525874,0.146160
2026-02-04,0.380360,0.000000,0.389296,0.230344
2026-02-05,0.344676,0.000000,0.428460,0.226864
2026-02-06,0.350274,0.000000,0.442432,0.207294
2026-02-26,0.329233,0.000000,0.394505,0.276262
2026-03-02,0.230810,0.162190,0.250775,0.356225
2026-03-03,0.222624,0.177749,0.246762,0.352865
2026-03-04,0.226106,0.114808,0.275175,0.383910
2026-03-05,0.243455,0.000000,0.310440,0.446105
2026-03-06,0.241405,0.000000,0.316006,0.442589
2026-03-09,0.239963,0.000000,0.321873,0.438164
2026-03-10,0.240573,0.000000,0.309209,0.450218
2026-03-11,0.243884,0.000000,0.298077,0.458038
2026-03-12,0.241304,0.000000,0.300301,0.458395
2026-03-13,0.244050,0.000000,0.296052,0.459898
2026-03-16,0.251686,0.000000,0.279305,0.469009
2026-03-17,0.256122,0.000000,0.284057,0.459820
2026-03-18,0.215055,0.123341,0.268778,0.392826
2026-03-19,0.216906,0.140847,0.264879,0.377368
2026-03-20,0.200804,0.151317,0.271348,0.376531
2026-03-23,0.231447,0.157195,0.260045,0.351313
2026-03-24,0.248057,0.160541,0.261214,0.330187
2026-03-25,0.259442,0.173288,0.252383,0.314888
2026-03-26,0.276454,0.174053,0.249573,0.299920
2026-03-27,0.277058,0.186054,0.248381,0.288508
2026-03-30,0.292586,0.141363,0.273466,0.292586
2026-03-31,0.318015,0.055426,0.308544,0.318015
2026-04-01,0.295095,0.114716,0.295095,0.295095
2026-04-02,0.289699,0.130904,0.289699,0.289699
2026-04-06,0.278571,0.164286,0.278571,0.278571
2026-04-07,0.303788,0.121184,0.271241,0.303788
2026-04-08,0.356515,0.062318,0.224651,0.356515
2026-04-09,0.366074,0.030179,0.237674,0.366074
2026-04-10,0.337745,0.139719,0.184792,0.337745
2026-04-13,0.345614,0.149548,0.159224,0.345614
2026-04-14,0.350990,0.214733,0.092557,0.341721
2026-04-15,0.365137,0.229408,0.061884,0.343571
2026-04-16,0.393531,0.232137,0.025983,0.348349
2026-04-17,0.406530,0.255785,0.000000,0.337684
2026-04-20,0.387467,0.315798,0.000000,0.296735
2026-04-21,0.395165,0.314578,0.010842,0.279416
2026-04-22,0.411419,0.320508,0.000000,0.268073
2026-04-23,0.473627,0.242868,0.000000,0.283505
2026-04-24,0.473642,0.258027,0.000000,0.268332
2026-05-05,0.757056,0.000000,0.013333,0.229611
2026-05-06,0.471756,0.196624,0.168140,0.163480
2026-05-07,0.471756,0.196624,0.168140,0.163480
